Key,Description,Standard,CHT,CHS,EN,JP
SAY.Flowchart.1.Elf,,I...?\nHere it is...? ,我...？\n這裡是...？,我...？\n这里是...？,I...?\nHere it is...?,私…？\nここよ…？
SAY.Flowchart.2.Sword,,"Yo~, you finally came to your senses. I saw you were in a daze for a long time, and I almost touched your breasts.",喲~，你終於回神了，看你恍惚好久了，差點要對你襲胸了。,哟~，你终于回神了，看你恍惚好久了，差点要对你袭胸了。,"Yo~, you finally came to your senses. I saw you were in a daze for a long time, and I almost touched your breasts.",よぉ～、やっと正気に戻ったな。ずっとぼーっとしていたのがわかり、思わず胸を触りそうになったよ。
SAY.Flowchart.4.Elf,,A broken sword...? Talking...! ?,一把斷劍...？ 在說話...！？,一把断剑...？ 在说话...！ ？,A broken sword...? Talking...! ?,折れた剣…？ しゃべってる…！？
SAY.Flowchart.3.Sword,,Hey! I am a magic sword!,喂喂! 我可是魔劍阿！,喂喂! 我可是魔剑阿！,Hey! I am a magic sword!,ねえ！私は魔剣よ！
SAY.Flowchart.5.Sword,,"But because that madman made me this way, I lost some of my power.",只是被個瘋子搞成這副德行，害我的失去了部分魔力。,只是被个疯子搞成这副德行，害我的失去了部分魔力。,"But because that madman made me this way, I lost some of my power.",ただ、狂人が私をこんな風にさせたせいで、私の魔力の一部が失われてしまったのよ。
SAY.Flowchart.6.Elf,,.....,......,......,.....,……
SAY.Flowchart.7.Sword,,Ah... It seems that you must have lost your memory. Most stories go like this.,哀... 看來你肯定是失憶了吧，故事都是這樣演的。,哀... 看来你肯定是失忆了吧，故事都是这样演的。,Ah... It seems that you must have lost your memory. Most stories go like this.,ああ…記憶を失ってしまったようだ。ほとんどのプロットはこんな感じです。
SAY.Flowchart.8.Sword,,So. Why don't you help me get my power back first? Maybe I can get your memory back too.,這樣吧。不如先幫我取回魔力，或許也能找回你的記憶。,这样吧。不如先帮我取回魔力，或许也能找回你的记忆。,So. Why don't you help me get my power back first? Maybe I can get your memory back too.,それで。まずは私の魔力を取り戻すのを手伝ってくれない？あなたの記憶も取り戻せるかもしれないわ。
SAY.Flowchart.9.Sword,,"After all, you are my current owner, maybe the two are related.",畢竟你是我目前的持有者，說不定兩者有所關連。,毕竟你是我目前的持有者，说不定两者有所关连。,"After all, you are my current owner, maybe the two are related.",結局のところ、あなたは私の現在の所有者です、おそらくこの2つは関係があるのでしょう。
SAY.Flowchart.10.Elf,,All right...,好吧...,好吧...,All right...,わかった…
SAY.Flowchart.11.Sword,,This is the forest in the territory of the orcs. Let me teach you some combat skills first.,這裡是獸人領地的森林，我先來教你一些戰鬥技巧吧。,这里是兽人领地的森林，我先来教你一些战斗技巧吧。,This is the forest in the territory of the orcs. Let me teach you some combat skills first.,ここはオークの領土にある森よ。まずは戦闘スキルを教えよう。
SAY.Flowchart.12.Sword,,"A S W D is moves, J is attacks, K is blocks, L is dashes.\nRemember? ","ASWD 移動、J 攻擊、K 格檔、L 衝刺。
記住了嗎？","ASWD 移动、J 攻击、K 格档、L 冲刺。
记住了吗？","ASWD is moves, J is attacks, K is blocks, L is dashes.
Remember?","ASWDは移動、Jは攻撃、Kはブロック、Lはダッシュ。
覚えてる？"
SAY.Flowchart.14.Elf,,Is this a dungeon...?,這是地下城...?,这是地下城...?,Is this a dungeon...?,ここはダンジョンなのか…？
SAY.Flowchart.15.Sword,,"Here can feel part of my power, but it's currently blocked by a barrier.",可以感受到我的部分魔力在這，但這目前有結界無法進入。,可以感受到我的部分魔力在这，但这目前有结界无法进入。,"Here can feel part of my power, but it's currently blocked by a barrier.",ここでは私の魔法の一部を感じることができますが、現在は障壁によってブロックされています。
SAY.Flowchart.17.Sword,,Let's find my power elsewhere first.,先去別處找尋我的魔力吧。,先去别处找寻我的魔力吧。,Let's find my power elsewhere first.,まず他の場所で私の魔法を見つけましょう。
SAY.Flowchart.19.Elf,,How strange is that?!,好奇怪？！,好奇怪？ ！,How strange is that?!,なんて不思議なことでしょう？ ！
SAY.Flowchart.22.Elf,,These orcs have dull eyes and their movements are very obscene.,這些獸人兩眼無神，動作還很猥褻。,这些兽人两眼无神，动作还很猥亵。,These orcs have dull eyes and their movements are very obscene.,これらのオークは目が鈍く、動きが非常に卑猥です。
SAY.Flowchart.20.Sword,,A little bit of my power can be felt from the orcs.,從獸人身上感覺得出我的些微魔力。,从兽人身上感觉得出我的些微魔力。,A little bit of my power can be felt from the orcs.,私の魔力の一部はオークたちからも感じられ。
SAY.Flowchart.21.Sword,,"Be careful, they are controlled by their sexual desires.",小心點，他們被性慾控制了。,小心点，他们被性欲控制了。,"Be careful, they are controlled by their sexual desires.",気をつけてください、彼らは性的欲求に支配されています。
SAY.Flowchart.24.Elf,,The road here is blocked by rocks.,這裡的路被岩石擋住了。,这里的路被岩石挡住了。,The road here is blocked by rocks.,ここの道は岩で塞がれています。
SAY.Flowchart.26.Sword,,"It's just a rock, so I can easily shatter it with my power.",區區岩石，以我的力量輕而易舉就可以擊碎了。,区区岩石，以我的力量轻而易举就可以击碎了。,"It's just a rock, so I can easily shatter it with my power.",ただの石なので、私の力で簡単に砕けます。
SAY.Flowchart.27.Elf,,But you don't have that power now.,但你現在沒有那個力量了。,但你现在没有那个力量了。,But you don't have that power now.,しかし、今のあなたにはその力はありません。
SAY.Flowchart.29.Elf,,What a thick fog.,好濃的霧氣。,好浓的雾气。,What a thick fog.,なんと濃い霧だろう。
SAY.Flowchart.31.Sword,,"In this mist, I can feel my power.",這個霧氣中，感受的到我的魔力。,这个雾气中，感受的到我的魔力。,"In this mist, I can feel my power.",この霧の中で、私は自分の魔法を感じることができます。
SAY.Flowchart.32.Sword,,"Be careful, there should be a fragment of my power in front of you.",小心點，前面應該有我的魔力碎片。,小心点，前面应该有我的魔力碎片。,"Be careful, there should be a fragment of my power in front of you.",気をつけろ、前に私の魔法の欠片があるはずです。
SAY.Flowchart.34.Elf,,This is it! ?,這個是！？,这个是！ ？,This is it! ?,これは！？
SAY.Flowchart.35.Sword,,This is my power! ! !  ,這是我的魔力阿！！！,这是我的魔力阿！ ！ ！,This is my power! ! !,これが私の魔力だ！！！
SAY.Flowchart.36.Elf,,There is a surge of power! ?,有股力量湧上來！？,有股力量涌上来！ ？,There is a surge of power! ?,
SAY.Flowchart.37.,,"Learn Earthshatter, which can break rocks. Press U to use Earthshatter.",習得 碎岩斬，可擊破岩石。按 U 使用碎岩斬。,习得 碎岩斩，可击破岩石。按 U 使用碎岩斩。,"Learn Earthshatter, which can break rocks. Press U to use Earthshatter.",岩を砕く「岩砕き斬り」を習得ました。U を押します
SAY.Flowchart.38.Sword,,"See, it's just a rock that can't take a single blow in front of my power.",看到沒有，區區岩石，在我的力量面前不勘一擊。,看到没有，区区岩石，在我的力量面前不勘一击。,"See, it's just a rock that can't take a single blow in front of my power.",ほら、私の力の前には一撃も効かないただの石だ。
SAY.Flowchart.39.Elf,,(This power feels familiar...!?),(這股力量有股熟悉的感覺...！？),(这股力量有股熟悉的感觉...！？),(This power feels familiar...!?),（この力、懐かしい……！？）
SAY.Flowchart.41.Elf,,There is no road here! ?,到這裡沒路了耶！？,到这里没路了耶！ ？,There is no road here! ?,ここには道がない！？
SAY.Flowchart.42.Sword,,"Of course, this is a DEMO! Thanks for playing! ! !",當然，這是DEMO阿！ 感謝遊玩！！！,当然，这是DEMO阿！ 感谢游玩！ ！ ！,"Of course, this is a DEMO! Thanks for playing! ! !",もちろん、これはDEMOです！ 遊んでくれてありがとう！ ！ ！
SAY.Flowchart.51.Elf,,It seems this can be burned with fire.,看來這個可以用火燒掉。,看来这个可以用火烧掉。,It seems this can be burned with fire.,これは火で燃やすことができるようです。
CHARACTER.Sword,,Sword,魔劍,魔剑,Sword,魔剣
CHARACTER.Elf,,Elf,精靈,精灵,Elf,エルフ
